Normative position,Human exceptionalism,Naturalized human distinctiveness,Total naturalism,Dominion,Stewarship/Responsability,equality,Reverence for nature,Pristine nature,Nature with some alteration,Domestic nature,Biophobia,Biophilia,Unconcerned,Intrinsic,Instrumental,Relational,No intervention,Light intervention,Directed intervention,Biotechnology,Technical,Scientific (Academic),Indigenous,democratic (local),Economic (market)
Survivalism ,Pros,Pros,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Cons,Pros,Neutral,Neutral,Pros,Cons,Cons,Cons
Promethean environmentalism,Pros,Neutral,Neutral,Pros,Cons,Neutral,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Pros,Pros,Neutral,Pros,Neutral,Neutral,Pros,Neutral,Neutral,Pros,Pros,Pros
Adminitrative rationalism,Pros,Neutral,Cons,Neutral,Neutral,Cons,Neutral,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Pros,Neutral,Neutral,Pros,Pros,Neutral,Neutral,Neutral
Democratic pragmatism,Pros,Neutral,Cons,Neutral,Neutral,Cons,Neutral,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Pros,Pros,Neutral
Economic rationalism  ,Pros,Neutral,Cons,Pros,Pros,Cons,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Pros
Sustainable development,Pros,Neutral,Cons,Neutral,Pros,Cons,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Neutral,Neutral,Pros,Pros,Pros,Pros,Pros,Pros,Pros
Ecological modernization,Pros,Neutral,Cons,Neutral,Pros,Cons,Neutral,Neutral,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Neutral,Neutral,Pros,Pros,Pros,Pros,Neutral,Neutral,Pros
Green radicalism,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Gray radicalism,Pros,Neutral,Cons,Pros,Cons,Neutral,Cons,Neutral,Neutral,Pros,Neutral,Neutral,Pros,Neutral,Pros,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
"Conserving biodiversity, reducing degradation; ",Cons,Pros,Cons,Cons,Neutral,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Neutral,Cons,Pros,Cons,Cons,Neutral
"Local and indigenous peoples, biodiversity-friendly development;",Cons,Cons,Cons,Neutral,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Pros,Pros,Cons,Cons,Pros,Pros,Neutral,Pros,Pros,Cons,Cons,Neutral
Climate adaptation and disaster risk reduction.,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Cons,Cons,Pros,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Cons,Cons,Pros,Neutral,Neutral
Management of changing ,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Innovation in Nature ,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Neutral
Protection of Threatened ,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Cons,Neutral
Re-establishment of Wild Nature,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Neutral
Mainstream Conservation ,Pros,Cons,Cons,Cons,Cons,Cons,Pros,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Neutral,Pros,Pros,Neutral,Cons,Neutral
Neoprotectionism ,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Pros,Cons,Neutral,Pros,Pros,Neutral,Cons,Neutral
New Conservation,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Pros,Pros,Neutral,Cons,Pros
Convivial Conservation,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Neutral,Neutral,Neutral,Pros,Cons,Cons
Compassionate conservation,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Cons,Pros,Cons,Neutral,Neutral,Neutral,Pros,Pros,Neutral
People-centered ,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Cons,Pros,Pros,Neutral
Science-led ecocentrism ,Neutral,Neutral,Neutral,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Pros,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Neutral
Conservation through capitalism,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Pros,Neutral
Nature for itself,Pros,Cons,Cons,Cons,Cons,Cons,Pros,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Neutral,Pros,Pros,Cons,Neutral,Neutral
Nature despite people,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Pros,Pros,Cons,Neutral,Pros,Pros,Cons,Neutral,Neutral
Nature for people,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Neutral,Neutral
People and Nature,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Neutral,Neutral,Neutral,Pros,Pros,Neutral
Providential republicanism ,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Cons,Cons,Pros,Pros,Neutral
Progressive management,Pros,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Cons,Pros,Cons,Cons,Neutral
Romantic epiphany,Pros,Cons,Cons,Cons,Neutral,Neutral,Neutral,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Ecological interdependence,Pros,Cons,Pros,Neutral,Cons,Pros,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Neutral
Humanism,Pros,Cons,Cons,Pros,Pros,Cons,Cons,Cons,Pros,Neutral,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Gaïa Pachama,Cons,Cons,Pros,Cons,Cons,Pros,Pros,Pros,Pros,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Pros,Cons,Neutral,Cons,Cons,Pros,Pros,Cons
Bioregionalism,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons
Master over nature ,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Neutral,Neutral
Steward of nature,Cons,Cons,Cons,Pros,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Guardianship of nature ,Cons,Cons,Cons,Cons,Pros,Pros,Cons,Pros,Cons,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Partner with nature ,Cons,Cons,Cons,Cons,Cons,Pros,Cons,Neutral,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
H,Cons,Cons,Pros,Cons,Neutral,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Cons,Pros,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Nature-connected users ,Cons,Cons,Cons,Cons,Neutral,Neutral,Neutral,Pros,Cons,Cons,Neutral,Neutral,Neutral,Cons,Pros,Cons,Pros,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Nature-sympathizers ,Cons,Pros,Cons,Cons,Neutral,Neutral,Neutral,Cons,Cons,Pros,Cons,Pros,Cons,Pros,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Nature controllers ,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Neutral,Neutral,Neutral,Neutral,Neutral
Nature lovers ,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Pros,Neutral,Neutral,Cons,Cons,Cons,Pros,Cons,Cons,Pros,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Man must follow nature,Cons,Cons,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Cons,Pros,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Man must make use of nature ,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Man must conquer nature ,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Traditionalist (Mastery),Pros,Cons,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Pluralist ,Cons,Pros,Cons,Pros,Pros,Pros,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Mutualist ,Cons,Cons,Cons,Cons,Pros,Pros,Cons,Cons,Cons,Cons,Neutral,Neutral,Neutral,Cons,Cons,Pros,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Distanced ,Cons,Cons,Cons,Cons,Cons,Cons,Cons,Cons,Cons,Cons,Cons,Cons,Pros,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Conquest and colonization,Pros,Cons,Cons,Pros,Cons,Cons,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Neutral,Cons,Cons,Pros,Pros,Neutral
Balanced development ,Pros,Cons,Cons,Pros,Pros,Cons,Cons,Cons,Pros,Cons,Cons,Cons,Cons,Pros,Pros,Neutral,Cons,Pros,Cons,Neutral,Cons,Pros,Cons,Neutral,Pros
Sustainable and regenerative development ,Cons,Pros,Cons,Pros,Pros,Neutral,Cons,Neutral,Neutral,Neutral,Cons,Cons,Cons,Pros,Pros,Neutral,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Neutral,Pros
Rational ecology ,Cons,Pros,Cons,Cons,Pros,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Pros,Neutral,Pros,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Ecofeminism ,Cons,Cons,Cons,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cons,Cons,Pros,Pros,Cons
Indigenous perspectives ,Cons,Cons,Pros,Cons,Pros,Pros,Cons,Cons,Pros,Cons,Neutral,Neutral,Neutral,Cons,Cons,Pros,Pros,Cons,Cons,Neutral,Cons,Cons,Pros,Cons,Cons
Anthropocentrism,Pros,Neutral,Cons,Pros,Pros,Cons,Cons,Cons,Pros,Neutral,Cons,Cons,Pros,Cons,Pros,Cons,Cons,Cons,Pros,Pros,Pros,Neutral,Pros,Pros,Pros
Biocentrism/ecocentrism,Cons,Neutral,Pros,Cons,Cons,Pros,Pros,Pros,Pros,Neutral,Cons,Pros,Cons,Pros,Neutral,Pros,Pros,Pros,Cons,Neutral,Neutral,Pros,Pros,Pros,Cons
pluricentric,Pros,Pros,Pros,Cons,Pros,Pros,Pros,Pros,Neutral,Neutral,Neutral,Pros,Cons,Neutral,Pros,Pros,Neutral,Neutral,Cons,Neutral,Neutral,Neutral,Pros,Neutral,Cons
Deep ecology,Cons,Neutral,Pros,Cons,Cons,Neutral,Neutral,Pros,Neutral,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Ecological justice,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Ecological citizenship,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Green lifestyles,Neutral,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Ecotheology,Cons,Pros,Neutral,Cons,Cons,Pros,Pros,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Green parties,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Social ecology,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Transition initiatives,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Red and Green,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Envirnmental justice,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Doughnut economics,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons
Environmentalism of the global poor,Cons,Neutral,Pros,Cons,Cons,Pros,Neutral,Pros,Pros,Cons,Cons,Pros,Cons,Pros,Neutral,Pros,Neutral,Pros,Cons,Neutral,Neutral,Cons,Pros,Pros,Cons